block,PCR,plate_ID,vial_ID,temp,emerged,sex,fly_no.,date_pupated,date_emerged,pupation,survived_to_mating,date_mated,M_male_survived_mating,M_female_survived_mating,M_female_survived_laying,M_larval,M_adults,F_female_survived_mating,F_male_survived_mating,F_female_survived_laying1,F_egg1,F_larval1,F_adults1,F_female_survived_laying2,F_egg2,F_larval2,F_adults2,F_female_survived_laying3,F_egg3,F_larval3,F_adults3
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,2,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,3,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,4,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,5,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,6,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,7,35,0,,,23/01/2018,,,,,,,,,,,,,,,,,,,,,,,
